%force (pN)	%C_eff (nm)	%extension (nm)	%epsilon
0.01	17.48152535	238.5289191	-0.013814702
0.010498647	17.58752025	253.5100788	-0.014114431
0.011022159	17.69986225	269.2160863	-0.014448733
0.011571776	17.81863823	285.6784571	-0.014821305
0.012148799	17.94451879	302.9341024	-0.015236219
0.012754595	18.07773551	320.9838084	-0.015697964
0.013390599	18.21903408	339.9432748	-0.016211499
0.014058317	18.36882748	359.7981347	-0.016782269
0.014759331	18.52759826	380.5484984	-0.01741628
0.0154953	18.69593631	402.2860651	-0.018120131
0.016267969	18.87472182	425.0328611	-0.018901053
0.017079166	19.06463516	448.8277177	-0.019767039
0.017930814	19.26639554	473.6768976	-0.020726836
0.018824928	19.48064499	499.7136637	-0.02179008
0.019763628	19.7082113	526.8818477	-0.022967334
0.020749135	19.95031284	555.2506371	-0.024270164
0.021783785	20.20778489	584.8589041	-0.025711229
0.022870026	20.48139106	615.7281199	-0.027304425
0.024010433	20.77322278	647.8971902	-0.029064915
0.025207706	21.08363655	681.4422408	-0.031009312
0.026464681	21.41407036	716.3091676	-0.033155707
0.027784335	21.76622468	752.5946051	-0.035523855
0.029169792	22.14151182	790.2768356	-0.038135282
0.030624335	22.54126731	829.3832579	-0.041013382
0.032151408	22.9671716	869.938496	-0.044183591
0.033754629	23.42104288	911.8949638	-0.047673519
0.035437793	23.90474558	955.2991782	-0.051513079
0.037204888	24.42006939	1000.157069	-0.055734607
0.039060098	24.9690725	1046.36942	-0.060373044
0.041007819	25.55370812	1093.967024	-0.06546607
0.043052661	26.17613592	1142.892784	-0.071054207
0.045199469	26.83799054	1193.088094	-0.077181023
0.047453327	27.5419234	1244.507147	-0.083893201
0.049819573	28.28932383	1297.05959	-0.091240662
0.052303811	29.08242137	1350.664515	-0.099276738
0.054911925	29.92280029	1405.225225	-0.108058238
0.057650091	30.81211294	1460.633882	-0.117645557
0.060524796	31.75207943	1516.773284	-0.128102796
0.063542847	32.74202048	1573.515141	-0.139497701
0.066711392	33.78439524	1630.726672	-0.151902054
0.070037935	34.87795467	1688.266463	-0.165391339
0.073530356	36.02363317	1745.99257	-0.180045164
0.077196925	37.21955087	1803.755439	-0.195947086
0.081046326	38.46535437	1861.409889	-0.2131848
0.085087677	39.75782622	1918.80385	-0.231850212
0.089330548	41.09442632	1975.820974	-0.252039507
0.093784989	42.47115097	2032.304319	-0.273853167
0.09846155	43.88375436	2088.136616	-0.297396323
0.103371305	45.32658849	2143.202775	-0.322778671
0.108525884	46.79611277	2197.399214	-0.350114789
0.113937495	48.28778032	2250.634762	-0.379524261
0.119618954	49.79180353	2302.831281	-0.411132027
0.125583717	51.30450089	2353.923257	-0.445068524
0.131845911	52.81838675	2403.885635	-0.481470092
0.138420368	54.32938644	2452.600402	-0.520479305
0.145322658	55.83014432	2500.120543	-0.562245321
0.152569129	57.31270807	2546.431471	-0.606924292
0.160176943	58.77951186	2591.444425	-0.654679848
0.168164118	60.21697073	2635.288424	-0.705683503
0.176549571	61.63046979	2677.830164	-0.760115224
0.185353162	63.01178098	2719.166083	-0.818163865
0.194595742	64.35752668	2759.392843	-0.880027881
0.2042992	65.66878742	2798.428763	-0.945915671
0.214486519	66.94164258	2836.341742	-1.016046348
0.225181824	68.17981498	2873.166095	-1.090650407
0.236410448	69.37952136	2908.935286	-1.16997013
0.248198984	70.54160314	2943.686475	-1.254260451
0.260575352	71.66769092	2977.454934	-1.343789651
0.273568864	72.76121695	3010.275546	-1.438839957
0.287210293	73.81630937	3042.183399	-1.53970833
0.301531948	74.83645565	3073.212392	-1.646707437
0.316567748	75.82444861	3103.392498	-1.760166039
0.332353304	76.77867894	3132.756797	-1.880430287
0.348926001	77.71177348	3161.332386	-2.007864172
0.366325091	78.6127391	3189.14891	-2.142851017
0.384591782	79.48221521	3216.231649	-2.285793724
0.403769336	80.33809346	3242.664266	-2.437116392
0.423903172	81.16156274	3268.294222	-2.59726494
0.445040977	81.95609501	3293.319748	-2.766708654
0.467232811	82.73287678	3317.703594	-2.94594081
0.490531235	83.48850697	3341.465389	-3.135480453
0.514991428	84.22228963	3364.624106	-3.335873177
0.54067132	84.93662564	3387.197669	-3.547692859
0.567631733	85.63168954	3409.203277	-3.771542836
0.595936519	86.30835293	3430.656932	-4.008057548
0.625652715	86.96709017	3451.57542	-4.257903886
0.656850699	87.60851541	3471.972517	-4.521783091
0.689604362	88.23361619	3491.863761	-4.800432327
0.723991276	88.84203057	3511.261361	-5.094626438
0.760092884	89.43457164	3530.179023	-5.405180012
0.797994687	90.01325007	3548.63085	-5.732949247
0.837786453	90.57506769	3566.587182	-6.078834113
0.879562422	91.12328663	3584.18276	-6.443780498
0.923421538	91.65767336	3601.306696	-6.828782595
0.969467676	92.17837672	3618.010918	-7.23488528
1.01780989	92.68538353	3634.305361	-7.663186627
1.068562675	93.18030375	3650.203454	-8.114840773
1.121846231	93.6621545	3665.712415	-8.5910605
1.177786757	94.13165554	3680.842971	-9.093120259
1.236516739	94.589118	3695.604743	-9.622359386
1.298175275	95.03485175	3710.007306	-10.18018525
1.362908395	95.46912059	3724.060196	-10.76807674
1.430869413	95.89205628	3737.769077	-11.38758775
1.502219286	96.30360173	3751.144963	-12.04035115
1.577126999	96.70550717	3764.198673	-12.72808256
1.655769963	97.0963821	3776.934217	-13.45258458
1.738334435	97.47709118	3789.361133	-14.21575123
1.82501596	97.84773594	3801.486593	-15.01957246
1.916019832	98.20866454	3813.318774	-15.86613897
2.011561585	98.55992004	3824.863542	-16.75764729
2.111867499	98.90190734	3836.129466	-17.69640501
2.217175138	99.2347599	3847.122993	-18.68483687
2.32773391	99.55863443	3857.850368	-19.72548973
2.443805662	99.87370402	3868.318093	-20.82103935
2.565665297	100.1802483	3878.533074	-21.97429677
2.693601426	100.4784512	3888.501323	-23.18821496
2.827917052	100.7684294	3898.228727	-24.46589612
2.968930286	101.0503954	3907.721196	-25.81059874
3.116975103	101.3244946	3916.984453	-27.22574609
3.27240213	101.5909869	3926.024317	-28.71493409
3.435579479	101.8499655	3934.845966	-30.28193997
3.606893618	102.1015993	3943.45469	-31.93073138
3.786750284	102.3461157	3951.856007	-33.6654761
3.975575449	102.5835323	3960.05425	-35.49055182
4.173816325	102.8141715	3968.055236	-37.41055685
4.381942422	103.0380944	3975.86321	-39.43032115
4.600446664	103.2554524	3983.482913	-41.55491788
